CONNECTION,MSG_NAME,DATA_TYPE,FIELD_NAME,DESCRIPTION,UNITS,DIM,INIT_VALUE,RANGE_LOW,RANGE_HIGH,REMARKS,BYTE_OFFSET,BIT_OFFSET
udpConn2,NFI35001,F64,varName1,varName1,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,0,0
udpConn2,NFI35002,F64,varName2,varName2,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,8,0
udpConn2,NFI35003,F64,varName3,varName3,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,16,0
udpConn2,NFI35004,F64,varName4,varName4,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,24,0
udpConn2,NFI35005,F64,varName5,varName5,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,32,0
udpConn2,NFI35006,F64,varName6,varName6,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,40,0
udpConn,NFI35007,F64,varName7,varName7,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,48,0
udpConn,NFI35008,F64,varName8,varName8,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,56,0
udpConn,NFI35009,F64,varName9,varName9,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,64,0
udpConn,NFI35010,F64,varName10,varName10,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,72,0
udpConn,NFI35011,F64,varName11,varName11,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,80,0
udpConn,NFI35012,F64,varName12,varName12,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,88,0
udpConn,NFI35013,F64,varName13,varName13,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,96,0
udpConn,NFI35014,F64,varName14,varName14,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,104,0
udpConn,NFI35015,F64,varName15,varName15,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,112,0
udpConn,NFI35016,F64,varName16,varName16,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,120,0
udpConn,NFI35017,F64,varName17,varName17,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,128,0
udpConn,NFI35018,F64,varName18,varName18,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,136,0
udpConn,NFI35019,F64,varName19,varName19,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,144,0
udpConn,NFI35020,F64,varName20,varName20,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,152,0
udpConn,NFI35021,F64,varName21,varName21,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,160,0
udpConn,NFI35022,F64,varName22,varName22,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,168,0
udpConn,NFI35023,F64,varName23,varName23,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,176,0
udpConn,NFI35024,F64,varName24,varName24,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,184,0
udpConn,NFI35025,F64,varName25,varName25,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,192,0
udpConn,NFI35026,F64,varName26,varName26,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,200,0
udpConn,NFI35127,U64,varName127,varName127,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,208,0
udpConn,NFI35128,U64,varName128,varName128,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,216,0
udpConn,NFI35129,U64,varName129,varName129,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,224,0
udpConn,NFI35130,U64,varName130,varName130,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,232,0
udpConn,NFI35131,U64,varName131,varName131,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,240,0
udpConn,NFI35132,U64,varName132,varName132,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,248,0
udpConn,NFI35133,U64,varName133,varName133,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,256,0
udpConn,NFI35134,U64,varName134,varName134,N/A,N/A,N/A,-1000000000,1000000000,how to fix aegis,264,0
